l1_category,l2_subcategory,l3_skill_name,l3_skill_id
Information Technology,Software Development Tools,AWS CodePipeline,ES81E615088FE9EDB504
Information Technology,Software Development Tools,AWS Elastic Beanstalk,KSU21FZSFMTTJN9W22FR
Information Technology,Software Development Tools,AWS SDK,KSMJU7BL3K034AD0AQSX
Information Technology,Software Development Tools,Active Input Method Manager,KS120C17027QZ5D2XP70
Information Technology,Software Development Tools,ActivePython (Python Package),KS1205K6WNHYDPXBDLRQ
Information Technology,Software Development Tools,ActiveReports,KS1205M612TM7H755DHG
Information Technology,Software Development Tools,Ada Programming Support Environment (APSE),KS120LS74KR9148JBTTT
Information Technology,Software Development Tools,Advanced Installer,KSSONUAUOIDVY6LDQYFF
Information Technology,Software Development Tools,Advanced Packaging Tool,KS1208L6HHH356L3LD6Q
Information Technology,Software Development Tools,Advanced Rest Client,KSFTJ98A9S38ZAKC5LZY
Information Technology,Software Development Tools,Agility,KS120BC6BLYD8GXK5DSW
Information Technology,Software Development Tools,Akka (Toolkit),KS120CY6PMGSK86N013P
Information Technology,Software Development Tools,Alexa Skills Kit,ES32CD3C43AC67EE4B7F
Information Technology,Software Development Tools,AlphaBasic,KS120DR6C9K2QG4NH8L1
Information Technology,Software Development Tools,Altera Quartus,KS120DV6C57571JQPR43
Information Technology,Software Development Tools,Amazon Elastic Container Registry,ES1CC7DE847CF65D1AB1
Information Technology,Software Development Tools,Amazon Managed Streaming for Apache Kafka (Amazon MSK),ESF44F4A6FCFF59B1133
Information Technology,Software Development Tools,AmfPHP,KS120G16PW4R6RRSHD6P
Information Technology,Software Development Tools,Ampps,KSY4M50AWZP7TUI902HW
Information Technology,Software Development Tools,Angular CLI,ES9373310EFD45FC9385
Information Technology,Software Development Tools,Angular Components,BGSBB00D5911C9C245D7
Information Technology,Software Development Tools,Angular Material,KSM72DQX6NAMAD5W02FF
Information Technology,Software Development Tools,Anjuta IDE (GNOME Developer Tools),KS120HG6TFNND897KDZL
Information Technology,Software Development Tools,AnkhSVN,KS120HG77B4CDRRX8PG8
Information Technology,Software Development Tools,Apache Beam,ES6F415942892FADDDE5
Information Technology,Software Development Tools,Apache CXF,KS1222N69CHZVML5S4FQ
Information Technology,Software Development Tools,Apache Camel,KS8L6GM565NMJ8QBBCAB
Information Technology,Software Development Tools,Apache Felix,BGS6582BDA613468077C
Information Technology,Software Development Tools,Apache Fop,KSMUJFMLNAZWTW5HKD5F
Information Technology,Software Development Tools,Apache Guacamole,ES20A90DC1F30C3A7247
Information Technology,Software Development Tools,Apache IBATIS,KS124XJ6WQ7PCZ2DY7CR
Information Technology,Software Development Tools,Apache Karaf,KS6KZA2ZOGP83RXW5YMU
Information Technology,Software Development Tools,Apache Lucene,KS1220X6JWX403ZLF6FL
Information Technology,Software Development Tools,Apache POI,KS124TQ6GGTFMYHC51GY
Information Technology,Software Development Tools,Apache Pulsar,ES579E7C81127A665731
Information Technology,Software Development Tools,Apache Thrift,BGS22B4FDC2674A61A14
Information Technology,Software Development Tools,Apache TinkerPop,KSOXPOSTXXMMUDP5VDPX
Information Technology,Software Development Tools,Apache Velocity,KSA3B03O0NUIEEJGJFZF
Information Technology,Software Development Tools,Apktool,KSO8NIT47S8YHCEH9C0A
Information Technology,Software Development Tools,Apollo GraphQL,ESED2F04B4C8848FB59C
Information Technology,Software Development Tools,AppGyver,ES6BE2721EB887ADCA14
Information Technology,Software Development Tools,Apple Cocoa,ESC261DBD0C29BB34DD7
Information Technology,Software Development Tools,Apple Developer Tools,KS120R46NVYC5QKZNZB8
Information Technology,Software Development Tools,Application Kits,KS120K261C72S279D7GY
Information Technology,Software Development Tools,Application Lifecycle Management (ALM) Software,BGSA52C82F8230AD0AD9
Information Technology,Software Development Tools,Appstats,KSCKS1WX8S9M20J7XX84
Information Technology,Software Development Tools,Argo CD,ES3EFC93721B8E5BDC8D
Information Technology,Software Development Tools,ArgoUML,KS120N0649VR4ZQG1ZFW
Information Technology,Software Development Tools,Armv6,KS9OCJJ30HC9XUVCL6QA
Information Technology,Software Development Tools,Armv8,KSQYPKSQOPBY7AYBT80K
Information Technology,Software Development Tools,Artifactory,KSZC8I4KQ1VB0V5EZJHQ
Information Technology,Software Development Tools,Aspose.words,KS4CJVJOAV4IN8NFC7IR
Information Technology,Software Development Tools,Assembla,KS120PC5YJLFKYDB0T81
Information Technology,Software Development Tools,Atlassian Crucible,ESD2467DAD164796FCE1
Information Technology,Software Development Tools,Atlassian OpsGenie,ES21E99D18C822FD6325
Information Technology,Software Development Tools,Attribute Change Package,KS7G001711SYPV014G45
Information Technology,Software Development Tools,Aura Framework,ES6DE32B7E8F5C4B261D
Information Technology,Software Development Tools,Autocode Generation,ESA5FBED28B05CEA3B3D
Information Technology,Software Development Tools,Autofac,KSJ9Y02Q63OUPE2S0ABK
Information Technology,Software Development Tools,Automapper,KS4VP1SIEYSFLS0WWK2R
Information Technology,Software Development Tools,Axway,BGS85777809633BAD072
Information Technology,Software Development Tools,Azure Backup,ESB4B4A59CED68D42BAB
Information Technology,Software Development Tools,Azure DevOps,ESFCB156A8BC41655036
Information Technology,Software Development Tools,Azure Notification Hubs,ES98EF90EA8B87A63E74
Information Technology,Software Development Tools,Azure Pipelines,BGSFDA0B9AABC97FBA07
Information Technology,Software Development Tools,Background Debug Mode,KS7G0CP777Z28KWRNS2S
Information Technology,Software Development Tools,Backing Beans,KSIHL1RWW8K9X7BW4ML5
Information Technology,Software Development Tools,Berkshelf,KSZWJFP5418HL3C5H5QJ
Information Technology,Software Development Tools,Bintray,KSB67ICTBU50A6364WIL
Information Technology,Software Development Tools,BitBake,KS121245ZP9V96TNPV7X
Information Technology,Software Development Tools,Bitnami,KS12126666V6FS2PS4WK
Information Technology,Software Development Tools,Bitrise,ES8D5F463D4CCB7E4677
Information Technology,Software Development Tools,Bluefish (Software),KS1213M73JNBTHV1CLBC
Information Technology,Software Development Tools,Borland Turbo Debugger,KS121526V8RDHJZKBDWY
Information Technology,Software Development Tools,Boto3,KSTIK7F7C3BLOZ4P8KT0
Information Technology,Software Development Tools,Bubble.io,ES5CCD73BBFFE2480BFB
Information Technology,Software Development Tools,Bundler,KS9E8TPZF65AXCBRULVR
Information Technology,Software Development Tools,BusyBox,KS1219H6Z0R5M6LYWL8S
Information Technology,Software Development Tools,CA-Telon,KS4419L688D5HHG414FC
Information Technology,Software Development Tools,CA/EZTEST,KS123SP758QMY516NTHZ
Information Technology,Software Development Tools,CATIA Certification,ES360EB43527817D1243
Information Technology,Software Development Tools,CVSNT,KS122M96L0W2KH9KF2QR
Information Technology,Software Development Tools,CWEB,KS1219T5YHMVBWNDPTSK
Information Technology,Software Development Tools,Caliburn,KSQG8XJ126RWBDVNAG5Q
Information Technology,Software Development Tools,Capicom,KSJXZ9C1KF04CGFZD62Z
Information Technology,Software Development Tools,Castle Windsor,KSXUA0CG3C4FZK3QK39M
Information Technology,Software Development Tools,Catalyst (Software),KS121FS5YRZMQRDG4Y59
Information Technology,Software Development Tools,Ccache,KS90OCMFMEB4858G4M8T
Information Technology,Software Development Tools,Cedet,KS9GTR1DBAJI4JADAVVH
Information Technology,Software Development Tools,Chai (Software),ESCD9B9471970FC22131
Information Technology,Software Development Tools,ChangeMan (Software),ES71444AE854893899C7
Information Technology,Software Development Tools,Checkstyle,KS121TS6CZ7CNZ5N2M4W
Information Technology,Software Development Tools,Cirq,ES32756B523BD3A37C33
Information Technology,Software Development Tools,Cisco Software,KS121XG6ZWWJGMVYGGSG
Information Technology,Software Development Tools,Citrix ADC,KSIASIV778Y951P8BOUA
Information Technology,Software Development Tools,Cleartool,KSBY9KPG7TTEA74NZQVZ
Information Technology,Software Development Tools,Clion,KSD8RKO21E70C3VAYB7A
Information Technology,Software Development Tools,CocoonJS,KS7HKIRBB9QW9TUB3XDL
Information Technology,Software Development Tools,Code Editor,KSQA856LARU8LWEV7Z89
Information Technology,Software Development Tools,Code Project Open Licensing,KS122GM6ZPQJC63LKS22
Information Technology,Software Development Tools,CodeWarrior,KS1222H6GZJRHLT2CW0V
Information Technology,Software Development Tools,Codebeamer,KS1222J6XV0VN8NCKSVL
Information Technology,Software Development Tools,Codedom,KS5BLPJW8ZSCYGPZM1NT
Information Technology,Software Development Tools,Codegen,KSCGPH1YD2AWXQF3RIK2
Information Technology,Software Development Tools,Codekit,KSCWPHF1BV0GZNUVY4HG
Information Technology,Software Development Tools,Codeship,KSZXQND5LQX3HELIRQVJ
Information Technology,Software Development Tools,Codesmith,KSV1LL67BSEYALHKWIQN
Information Technology,Software Development Tools,Compiling Code,ES2A620C71775C91792F
Information Technology,Software Development Tools,Compojure,KSYWJN83K8JF3FWK0CJU
Information Technology,Software Development Tools,Compound Files,KS1226S6QGR1GKMW0M02
Information Technology,Software Development Tools,Conditional Expressions,KSCA5TEJ7G1Y5NXJGP3G
Information Technology,Software Development Tools,Copado,ES35032A66FE9126748F
Information Technology,Software Development Tools,Crimson Editor,KS122J46JD67YPJLS9HQ
Information Technology,Software Development Tools,Critical Section,KS6CWFIO8IKTUFSXF3KU
Information Technology,Software Development Tools,Cross Platform Component Object Model (XPCOM),KS442805VWBLR23XD7J6
Information Technology,Software Development Tools,CrossTalk (Software),KS683B86KK47KM45KV0Z
Information Technology,Software Development Tools,Cruisecontrol.net,KSPAX8K6CDKECV2G31SI
Information Technology,Software Development Tools,Ctags,KS122KS6FBWL1WCQPBKK
Information Technology,Software Development Tools,Cublas,KS9LM70X13CD1MMIZT0D
Information Technology,Software Development Tools,Cursor AI,ES314977FAF7DA758E3A
Information Technology,Software Development Tools,Cygwin,KS122MR6TT691YNJK8MD
Information Technology,Software Development Tools,DDEV (Software),BGSD1D0A3B04FE15FBAE
Information Technology,Software Development Tools,DMS Software Reengineering Toolkits,KS1232S6M31NL3S9DH7T
Information Technology,Software Development Tools,Dapper ORM,ES55BBB7F148A3D543C6
Information Technology,Software Development Tools,DbUnit,KSC16RGQL9A50RLP9WNH
Information Technology,Software Development Tools,Desktop COmmunication Protocol (DCOP),KS122RQ715B21V2WS940
Information Technology,Software Development Tools,DevExpress,KS8CO2H9N3IQE4GU59H9
Information Technology,Software Development Tools,Developer Console,KSW99OV6GI361NH7DZVK
Information Technology,Software Development Tools,Devkit,KSTXHE9WNOMFW1IDJMDU
Information Technology,Software Development Tools,Devtools,KSJW07BQY4AJ9OFCUNVV
Information Technology,Software Development Tools,Digital.ai Release,ES53C13927A8F89E4AC3
Information Technology,Software Development Tools,Disassembler,KS1230F6Q3PKP7TXB2FV
Information Technology,Software Development Tools,Docker (Software),KSY4WFI1S164RQUBSPCC
Information Technology,Software Development Tools,Docker Compose,BGS24B020F89FB7BC0E3
Information Technology,Software Development Tools,Docker Container,KS6J3XWZEB5IQYXJE27M
Information Technology,Software Development Tools,Docker Engine,KS61ZX00TEDMBSZ60YHX
Information Technology,Software Development Tools,Docker Hub,BGSDB04BC27B4EC647E5
Information Technology,Software Development Tools,Docker Swarm,KS98FOOTUROMAWNASKVR
Information Technology,Software Development Tools,Dockerfile,KSMQOXR20589Y8VYOB6U
Information Technology,Software Development Tools,Document Object Model,KS1233M7170WYZ70Y959
Information Technology,Software Development Tools,Doxygen,KS1234T74M8ZX9SGRJD3
Information Technology,Software Development Tools,Dtrace,KS123766LPKJTG029YCM
Information Technology,Software Development Tools,Eclipse Modeling Framework,KS1239L78KYJW9SV3T8R
Information Technology,Software Development Tools,Eclipse Process Framework,KS1239M700X77LZDX6CX
Information Technology,Software Development Tools,Edge Development Options,KS123BQ78WVFK429ZXK5
Information Technology,Software Development Tools,Ejabberd,KS123CW667BH62TR6DF5
Information Technology,Software Development Tools,Emacs,KS7G89R6XF0L6TYQ32H0
Information Technology,Software Development Tools,Emgucv,KSYBCD10MP2179VJLR1Q
Information Technology,Software Development Tools,Entity Framework (EF) Core,BGS6837680F34EC86853
Information Technology,Software Development Tools,Equinox (OSGi),KS123MC6XBGS72QFPS6L
Information Technology,Software Development Tools,Event Receiver,KSP87UZXETNHPNRA7C1I
Information Technology,Software Development Tools,Eventkit,KSQZ8KVHZWB7NLDFEYF0
Information Technology,Software Development Tools,Expo (Application Development Framework),ESC46ABF2BA59899FDF9
Information Technology,Software Development Tools,External Links,KS4FY0QGEU3SZJ9RT2AB
Information Technology,Software Development Tools,Fabric8,KST2MBMTBH5GWVC8B4PR
Information Technology,Software Development Tools,Fast Light Toolkit (FLTK),KS1240R6HZ8GTTP8XGQZ
Information Technology,Software Development Tools,Fastify,ES8D615A0575F15972CE
Information Technology,Software Development Tools,Fbx,KS123VC6Y75LVLF08MZ4
Information Technology,Software Development Tools,Fieldset,KSAQTJVISF85KZIWHITG
Information Technology,Software Development Tools,FinalBuilder,KS123XX6GMRRRBNNGX9X
Information Technology,Software Development Tools,FlashDevelop,KS123ZV6RYS4WXKQJGRF
Information Technology,Software Development Tools,Flashvars,KSMTSPEMWRS8K3R1M6J3
Information Technology,Software Development Tools,Flexera AdminStudio,BGSA660C43A443B9CA8C
Information Technology,Software Development Tools,Flexmojos,KS58L2O52DM07BXM1U6S
Information Technology,Software Development Tools,Flux (React.js),KS124126JS7ZTP2GFVSC
Information Technology,Software Development Tools,Form Designer,KSANFK3X34KEJL7TA5ET
Information Technology,Software Development Tools,FourGen Computer-Aided Software Engineering (CASE) Tools,KS1242W68Y5QN3S32W3C
Information Technology,Software Development Tools,Ftrace,KS4QVMFKFISJS7QYO8QT
Information Technology,Software Development Tools,GNU ADNS,KS1206T60442W89ZGK3R
Information Technology,Software Development Tools,GNU Binutils,KS1210K5YHPKZK4KZ0X8
Information Technology,Software Development Tools,GNU Compiler Collection,KS1246479T2KSYXVDD38
Information Technology,Software Development Tools,GNU Libtool,KS125TJ75VRKVL7MPHT4
Information Technology,Software Development Tools,GNU Linear Programming Kit,KS124D25Y1K8TCDTH5D5
Information Technology,Software Development Tools,GNU Linker,KS124DM62GY3VBCYDGDG
Information Technology,Software Development Tools,GNU Toolchain,KS124DR6YMF6V24PG03C
Information Technology,Software Development Tools,GTK,KS124JS6YG9J4SHPWSKH
Information Technology,Software Development Tools,Gacutil,KSCMB2GFM6QGI3KZ5CWD
Information Technology,Software Development Tools,Gearman,KS1247T602LH5MN37RB8
Information Technology,Software Development Tools,Gen (Software),KS1208V6D5B38CH9N98F
Information Technology,Software Development Tools,Gevent,KSAVFJ87IK0D6804SD97
Information Technology,Software Development Tools,Gitolite,KSH4V0M3R9UB5MZIU9JV
Information Technology,Software Development Tools,Glide (Software),ES1F0D424B5B77CE783C
Information Technology,Software Development Tools,Gmock,KS4G1ALTATT36GVIS25D
Information Technology,Software Development Tools,Go Continuous Delivery (GoCD),ES5F288EE31A89BC296D
Information Technology,Software Development Tools,GoToAssist,KS124G25VSP20D2YBK18
Information Technology,Software Development Tools,Google Code,KS5YOQ25W0R8LXOTSUDJ
Information Technology,Software Development Tools,Gprof,KSUEDO8QXYJA2EVG6KXT
Information Technology,Software Development Tools,GrapeCity ComponentOne,KSOGFU1XPZSRUMDEDWJK
Information Technology,Software Development Tools,Greendao,KSU8RKBVM98HLTU63G4Y
Information Technology,Software Development Tools,Grep,KSP5QYERQ7MREXTGHWLN
Information Technology,Software Development Tools,Gunicorn,KS124K55VTMNSBMS5N23
Information Technology,Software Development Tools,HTML Document Object Models,KS124TX75P9KMQWWL5JH
Information Technology,Software Development Tools,HTML5shiv,KSKYQCREO7UIURAWQUX0
Information Technology,Software Development Tools,HashiCorp,ES742D1693F30DAAD2D9
Information Technology,Software Development Tools,Hazelcast,KS124M3749K4H0MK3PLL
Information Technology,Software Development Tools,HelpNDoc,KS124P361VST37Q9KFL5
Information Technology,Software Development Tools,Hiera,BGSDD70A689D713FF47D
